1,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
1,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
1,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
2,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
2,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
2,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
3,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
3,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
3,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
4,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
4,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
4,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
5,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
5,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
5,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
6,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
6,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
6,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
7,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
7,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
7,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
8,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
8,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
8,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
9,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
9,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
9,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
10,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
10,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
10,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
11,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
11,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
11,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
12,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
12,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
12,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
13,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
13,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
13,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
14,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
14,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
14,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
15,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
15,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
15,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
16,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
16,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
16,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
17,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
17,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
17,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
1,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
1,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
1,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
2,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
2,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
2,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
3,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
3,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
3,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
4,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
4,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
4,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
5,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
5,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
5,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
6,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
6,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
6,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
7,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
7,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
7,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
8,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
8,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
8,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
9,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
9,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
9,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
10,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
10,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
10,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
11,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
11,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
11,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
12,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
12,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
12,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
13,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
13,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
13,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
14,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
14,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
14,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
15,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
15,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
15,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
1,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
1,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
1,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
2,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
2,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
2,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
3,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
3,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
3,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
4,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
4,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
4,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
5,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
5,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
5,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
6,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
6,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
6,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
7,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
7,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
7,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
8,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
8,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
8,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
9,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
9,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
9,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
10,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
10,2,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
10,3,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
11,1,Code: 210. DB::NetException: Connection refused (localhost:9440). (NETWORK_ERROR)
