[0.000828,0.000436,0.000416],
[0.000895,0.000478,0.000461],
[0.000916,0.000493,0.000458],
[0.000857,0.000411,0.000409],
[0.001071,0.000582,0.000591],
[0.001013,0.000625,0.000591],
[0.000942,0.000558,0.000527],
[0.00118,0.000713,0.000705],
[0.001112,0.000699,0.000695],
[0.001164,0.000775,0.000762],
[0.001238,0.000751,0.000722],
[0.001281,0.000831,0.000862],
[0.001151,0.000756,0.00075],
[0.001353,0.000749,0.000745],
[0.00119,0.000827,0.000778],
[0.001065,0.000645,0.000575],
[0.001178,0.000721,0.000742],
[0.001158,0.000706,0.000678],
[0.001333,0.00087,0.00081],
[0.000769,0.000403,0.000392],
[0.000842,0.000475,0.000453],
[0.001278,0.000833,0.000804],
[0.00127,0.000857,0.000842],
[0.001211,0.000768,0.000783],
[0.001059,0.000574,0.000583],
[0.001094,0.000566,0.000577],
[0.001101,0.000646,0.000603],
[0.001234,0.000799,0.000811],
[0.001304,0.000858,0.000848],
[0.00145,0.001096,0.001077],
[0.001289,0.000873,0.000845],
[0.001332,0.000886,0.000826],
[0.001482,0.000812,0.000824],
[0.001119,0.00079,0.000695],
[0.001292,0.000764,0.000717],
[0.001148,0.000712,0.000666],
[0.001188,0.000796,0.0008],
[0.00133,0.000857,0.000803],
[0.001271,0.000829,0.000813],
[0.001299,0.0009,0.000901],
[0.001312,0.000891,0.000835],
[0.001259,0.000838,0.000844],
[0.001272,0.000778,0.00077],
